,species,ln_r_mu,ln_r_sd,r_mean,r_var,dispersion,r_orig,r,r_lower_bound,r_upper_bound,r_bound_note,source,link,congener_sp,alt_species
43,Trachurus trecae,-0.7595462289,0.214150827,0.4787312324,0.01075522724,0.02246610731,0.4785932072,,,,,,,,
44,Trachurus murphyi,-1.403682105,0.09374510765,0.2467725956,0.0005375276408,0.002178230688,0.2467726866,,,,,,,,
45,Scomber japonicus,-0.9238830654,0.06168022027,0.3977304197,0.0006029701828,0.001516027321,0.3977271946,,,,,,,,
46,Gadus morhua,-0.9979088836,0.02983940904,0.3688136823,0.0001211679734,0.0003285343771,0.3688134282,,,,,,,,
47,Pagellus erythrinus,-0.7625207866,0.05931700297,0.4673104191,0.0007697214441,0.001647130928,0.4673070737,,,,,,,,
48,Jasus lalandii,NA,NA,NA,NA,NA,0.08971571552,0.425,0.28,0.64,average of 95% CL,SeaLifeBase,,,
49,Sebastes pinniger,-3.271918834,0.2253476663,0.03890906396,7.89E-05,0.002026892213,0.03888939266,,,,,,,,
50,Trachurus capensis,-1.271537803,0.1025666999,0.28187887,0.0008402803037,0.002980997844,0.2818751907,,,,,,,,
51,Brosme brosme,-2.261900084,0.1436236811,0.1052321725,0.0002308001789,0.002193247307,0.1052238731,,,,,,,,
52,Sebastes crameri,-2.984286927,0.3023671212,0.05294116963,0.0002683244919,0.005068352168,0.0528715338,,,,,,,,
53,Ostrea chilensis,NA,NA,NA,NA,NA,0.0877339347,,,,,,,,
54,Parapenaeus longirostris,NA,NA,NA,NA,NA,0.6149215344,1.03,0.68,1.54,95% CL,SeaLifeBase,https://www.sealifebase.ca/summary/Parapenaeus-longirostris.html,,
55,Microstomus pacificus,-2.428435993,0.1746030834,0.08952898292,0.0002481235236,0.002771432395,0.08950387728,,,,,,,,
56,Sebastes variabilis,-2.497485667,0.164652928,0.08341472937,0.0001912162053,0.002292355399,0.08341356542,,,,,,,,
57,Hippoglossoides elassodon,-1.729439329,0.1636402592,0.1797748109,0.0008771336499,0.004879068685,0.1797566329,,,,,,,,
58,Lepidorhombus boscii,-0.6690159595,0.03743381337,0.5125713724,0.0003684182686,0.0007187648167,0.5125708668,,,,,,,,
59,Caranx rhonchus,-0.4537188809,0.156815349,0.6431203813,0.01029704253,0.01601106546,0.6430720557,,,,,,,,
60,Mycteroperca microlepis,-1.742074386,0.1368299992,0.1768040606,0.0005907707573,0.003341386818,0.1767951381,,,,,,,,
61,Rexea solandri,-1.454309622,0.1074224542,0.2349130506,0.0006404904052,0.002726499884,0.2349082857,,,,,,,,
62,Phycis blennoides,-0.930088434,0.1202113416,0.3973796927,0.002298497049,0.005784133138,0.39737657,,,,,,,,
63,Reinhardtius hippoglossoides,-1.767668675,0.1003079452,0.1715916363,0.000297748511,0.001735215757,0.1715885586,,,,,,,,
64,Sebastes carnatus,-2.628681053,0.5902061908,0.08590533208,0.003075269071,0.03579834914,0.08517461966,,,,,,,,
65,Seriola dumerili,-0.8027849416,0.1132256207,0.450960773,0.002623939175,0.005818553036,0.4509553402,,,,,,,,
66,Sebastes elongatus,-2.412014064,0.2325867153,0.09209213147,0.0004714273104,0.005119083496,0.09206972072,,,,,,,,
